127.0.0.1 - - [29/May/2024:19:45:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/May/2024:19:45:51 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928405
0:0:0:0:0:0:0:1 - - [29/May/2024:19:45:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/May/2024:19:46:41 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928597
0:0:0:0:0:0:0:1 - - [29/May/2024:19:46:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928597
0:0:0:0:0:0:0:1 - - [29/May/2024:19:46:43 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928597
0:0:0:0:0:0:0:1 - - [29/May/2024:19:46:43 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928597
0:0:0:0:0:0:0:1 - - [29/May/2024:19:46:43 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 928597
0:0:0:0:0:0:0:1 - - [29/May/2024:19:52:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929414
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:15 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:16 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:17 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:17 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:19 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:19 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:19 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:19 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:19 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:20 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:23 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:24 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:24 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:25 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929474
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:56 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929506
0:0:0:0:0:0:0:1 - - [29/May/2024:19:54:57 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929506
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:46 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:48 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:48 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:48 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:49 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:55:50 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 929486
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:09 +0530] "GET /mrusportshub/Match-entry.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:09 +0530] "GET /mrusportshub/images/footballbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:23 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:26 +0530] "GET /mrusportshub/Match-entry.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:38 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:41 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:43 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 10504847
0:0:0:0:0:0:0:1 - - [29/May/2024:19:56:57 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:57:03 +0530] "POST /mrusportshub/matcheentry HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [29/May/2024:19:57:05 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28145241
0:0:0:0:0:0:0:1 - - [29/May/2024:19:59:18 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28145281
0:0:0:0:0:0:0:1 - - [29/May/2024:20:01:27 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146720
0:0:0:0:0:0:0:1 - - [29/May/2024:20:04:42 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:52 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:53 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:06:54 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28146865
0:0:0:0:0:0:0:1 - - [29/May/2024:20:07:22 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147182
0:0:0:0:0:0:0:1 - - [29/May/2024:20:07:45 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147180
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:16 +0530] "GET /mrusportshub/display.jsp HTTP/1.1" 200 28147212
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/mrulogo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/hockeybanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/cricketbanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:20:12:48 +0530] "GET /mrusportshub/images/kabaddibanner.jpg HTTP/1.1" 304 -
